CU_Name	Year	catch	exploit	escape	enroute.loss	DUID
Harrison(U/S)-L	1981	198751	0.83	42002	0	10
Harrison(U/S)-L	1982	905609	0.75	295014	0	10
Harrison(U/S)-L	1983	259955	0.87	39341	0	10
Harrison(U/S)-L	1984	283736	0.83	59602	0	10
Harrison(U/S)-L	1985	199274	0.84	37019	0	10
Harrison(U/S)-L	1986	1223390	0.92	110738	0	10
Harrison(U/S)-L	1987	376413	0.84	69492	0	10
Harrison(U/S)-L	1988	544284	0.92	49257	0	10
Harrison(U/S)-L	1989	84500	0.83	17167	0	10
Harrison(U/S)-L	1990	42282	0.72	16377	0	10
Harrison(U/S)-L	1991	157436	0.81	38132	0	10
Harrison(U/S)-L	1992	304239	0.84	58686	0	10
Harrison(U/S)-L	1993	783032	0.9	84456	0	10
Harrison(U/S)-L	1994	607583	0.9	64956	0	10
Harrison(U/S)-L	1995	44082	0.56	34031	0	10
Harrison(U/S)-L	1996	312897	0.49	72043	255557	10
Harrison(U/S)-L	1997	461357	0.91	25504	22612	10
Harrison(U/S)-L	1998	209170	0.27	57092	499708	10
Harrison(U/S)-L	1999	37104	0.15	34838	168398	10
Harrison(U/S)-L	2000	171884	0.38	6613	268421	10
Harrison(U/S)-L	2001	40278	0.18	19915	164724	10
Harrison(U/S)-L	2002	178819	0.34	101033	244192	10
Harrison(U/S)-L	2003	71991	0.29	49488	127072	10
Harrison(U/S)-L	2004	46927	0.28	25379	96281	10
Harrison(U/S)-L	2005	21915	0.14	48516	84956	10
Harrison(U/S)-L	2006	76635	0.27	39781	163798	10
Harrison(U/S)-L	2007	19778	0.13	39447	90276	10
Harrison(U/S)-L	2008	16736	0.14	2756	100346	10
Harrison(U/S)-L	2009	5649	0.05	35556	75557	10
Harrison(U/S)-L	2010	125324	0.55	59897	43161	10
Harrison(U/S)-L	2011	182521	0.53	72569	87136	10
Kamloops-ES	1952	52055	0.77	15617	0	11
Kamloops-ES	1953	29528	0.79	7904	0	11
Kamloops-ES	1954	32439	0.76	9988	0	11
Kamloops-ES	1955	35547	0.87	5079	0	11
Kamloops-ES	1956	50139	0.85	9037	0	11
Kamloops-ES	1957	28435	0.81	6860	0	11
Kamloops-ES	1958	30589	0.75	10214	0	11
Kamloops-ES	1959	53580	0.84	10210	0	11
Kamloops-ES	1960	19840	0.78	5513	0	11
Kamloops-ES	1961	21444	0.75	7293	0	11
Kamloops-ES	1962	16989	0.69	7613	0	11
Kamloops-ES	1963	12263	0.59	8683	0	11
Kamloops-ES	1964	12736	0.71	5177	0	11
Kamloops-ES	1965	17684	0.73	6624	0	11
Kamloops-ES	1966	33478	0.84	6244	0	11
Kamloops-ES	1967	10792	0.89	1279	0	11
Kamloops-ES	1968	30317	0.74	10675	0	11
Kamloops-ES	1969	21690	0.8	5537	0	11
Kamloops-ES	1970	17707	0.8	4462	0	11
Kamloops-ES	1971	10161	0.93	801	0	11
Kamloops-ES	1972	91235	0.89	11048	0	11
Kamloops-ES	1973	12976	0.83	2714	0	11
Kamloops-ES	1974	9627	0.8	2383	0	11
Kamloops-ES	1975	7463	0.74	2609	0	11
Kamloops-ES	1976	50493	0.85	9238	0	11
Kamloops-ES	1977	1761	0.74	617	0	11
Kamloops-ES	1978	16770	0.87	2493	0	11
Kamloops-ES	1979	4332	0.71	1776	0	11
Kamloops-ES	1980	14198	0.72	5418	0	11
Kamloops-ES	1981	3244	0.8	815	0	11
Kamloops-ES	1982	12085	0.8	2992	0	11
Kamloops-ES	1983	6034	0.68	2780	0	11
Kamloops-ES	1984	30293	0.61	19086	0	11
Kamloops-ES	1985	7512	0.67	3638	0	11
Kamloops-ES	1986	1659	0.44	2095	0	11
Kamloops-ES	1987	2681	0.65	1436	0	11
Kamloops-ES	1988	15548	0.44	19851	0	11
Kamloops-ES	1989	15220	0.9	1647	0	11
Kamloops-ES	1990	3975	0.86	630	0	11
Kamloops-ES	1991	1045	0.69	464	0	11
Kamloops-ES	1992	29899	0.68	8236	6068	11
Kamloops-ES	1993	10702	0.68	5047	0	11
Kamloops-ES	1994	1293	0.22	1712	2851	11
Kamloops-ES	1995	727	0.41	1044	0	11
Kamloops-ES	1996	19282	0.29	46592	0	11
Kamloops-ES	1997	19919	0.82	6093	0	11
Kamloops-ES	1998	2977	0.19	7198	5356	11
Kamloops-ES	1999	9940	0.21	6994	30534	11
Kamloops-ES	2000	27507	0.29	66292	0	11
Kamloops-ES	2001	15807	0.32	32860	0	11
Kamloops-ES	2002	11816	0.39	18369	0	11
Kamloops-ES	2003	18881	0.5	10040	8830	11
Kamloops-ES	2004	83458	0.58	5611	53851	11
Kamloops-ES	2005	20330	0.23	26456	40526	11
Kamloops-ES	2006	13660	0.37	6073	17665	11
Kamloops-ES	2007	8492	0.34	14353	2400	11
Kamloops-ES	2008	14885	0.32	10406	21412	11
Kamloops-ES	2009	1465	0.09	11464	2866	11
Kamloops-ES	2010	4243	0.42	5119	633	11
Kamloops-ES	2011	5664	0.36	9241	1027	11
Lillooet-Harrison-L	1952	179967	0.79	47061	0	12
Lillooet-Harrison-L	1953	218469	0.84	42491	0	12
Lillooet-Harrison-L	1954	190286	0.91	18213	0	12
Lillooet-Harrison-L	1955	135005	0.9	14553	0	12
Lillooet-Harrison-L	1956	207874	0.81	49754	0	12
Lillooet-Harrison-L	1957	134339	0.9	14536	0	12
Lillooet-Harrison-L	1958	154735	0.91	15166	0	12
Lillooet-Harrison-L	1959	224231	0.9	26159	0	12
Lillooet-Harrison-L	1960	188500	0.84	36838	0	12
Lillooet-Harrison-L	1961	57340	0.64	31681	0	12
Lillooet-Harrison-L	1962	77255	0.75	26369	0	12
Lillooet-Harrison-L	1963	171181	0.78	48893	0	12
Lillooet-Harrison-L	1964	115608	0.7	48908	0	12
Lillooet-Harrison-L	1965	68633	0.81	16230	0	12
Lillooet-Harrison-L	1966	85755	0.81	20116	0	12
Lillooet-Harrison-L	1967	255364	0.86	39876	0	12
Lillooet-Harrison-L	1968	242479	0.81	58104	0	12
Lillooet-Harrison-L	1969	171641	0.82	37382	0	12
Lillooet-Harrison-L	1970	146558	0.83	30656	0	12
Lillooet-Harrison-L	1971	439996	0.95	24629	0	12
Lillooet-Harrison-L	1972	229149	0.81	54722	0	12
Lillooet-Harrison-L	1973	438981	0.89	56735	0	12
Lillooet-Harrison-L	1974	675764	0.85	119814	0	12
Lillooet-Harrison-L	1975	247925	0.8	61581	0	12
Lillooet-Harrison-L	1976	408643	0.84	77535	0	12
Lillooet-Harrison-L	1977	166970	0.88	23845	0	12
Lillooet-Harrison-L	1978	358751	0.79	95141	0	12
Lillooet-Harrison-L	1979	260185	0.81	60988	0	12
Lillooet-Harrison-L	1980	427902	0.84	78613	0	12
Lillooet-Harrison-L	1981	345082	0.88	49023	0	12
Lillooet-Harrison-L	1982	495013	0.81	119738	0	12
Lillooet-Harrison-L	1983	364193	0.89	44029	0	12
Lillooet-Harrison-L	1984	201902	0.83	40245	0	12
Lillooet-Harrison-L	1985	131739	0.92	11998	0	12
Lillooet-Harrison-L	1986	1289416	0.79	335630	0	12
Lillooet-Harrison-L	1987	754868	0.82	164946	0	12
Lillooet-Harrison-L	1988	346645	0.68	166591	0	12
Lillooet-Harrison-L	1989	209025	0.88	29606	0	12
Lillooet-Harrison-L	1990	813505	0.83	166773	0	12
Lillooet-Harrison-L	1991	723647	0.71	294026	0	12
Lillooet-Harrison-L	1992	297578	0.61	186543	0	12
Lillooet-Harrison-L	1993	1393692	0.85	244954	0	12
Lillooet-Harrison-L	1994	340170	0.9	39234	0	12
Lillooet-Harrison-L	1995	43381	0.53	38588	0	12
Lillooet-Harrison-L	1996	56391	0.5	55647	0	12
Lillooet-Harrison-L	1997	178721	0.78	50202	0	12
Lillooet-Harrison-L	1998	106545	0.26	296511	4260	12
Lillooet-Harrison-L	1999	20706	0.11	49586	117621	12
Lillooet-Harrison-L	2000	42941	0.68	14470	5680	12
Lillooet-Harrison-L	2001	17829	0.29	44450	0	12
Lillooet-Harrison-L	2002	36296	0.16	189445	0	12
Lillooet-Harrison-L	2003	141125	0.31	310960	0	12
Lillooet-Harrison-L	2004	35477	0.35	38386	27068	12
Lillooet-Harrison-L	2005	18878	0.13	53546	75936	12
Lillooet-Harrison-L	2006	175601	0.3	266459	142129	12
Lillooet-Harrison-L	2007	42482	0.31	93480	0	12
Lillooet-Harrison-L	2008	8937	0.17	19500	25443	12
Lillooet-Harrison-L	2009	4729	0.07	53977	4694	12
Lillooet-Harrison-L	2010	163954	0.53	128285	17493	12
Lillooet-Harrison-L	2011	114467	0.31	233065	25896	12
North Barriere-ES	1952	0	0	0	0	14
North Barriere-ES	1953	0	0	0	0	14
North Barriere-ES	1954	0	0	0	0	14
North Barriere-ES	1955	0	0	0	0	14
North Barriere-ES	1956	0	0	0	0	14
North Barriere-ES	1957	0	0	0	0	14
North Barriere-ES	1958	15	0.75	5	0	14
North Barriere-ES	1959	125	0.82	27	0	14
North Barriere-ES	1960	0	0	0	0	14
North Barriere-ES	1961	0	0	0	0	14
North Barriere-ES	1962	0	0	0	0	14
North Barriere-ES	1963	616	0.59	436	0	14
North Barriere-ES	1964	359	0.71	146	0	14
North Barriere-ES	1965	0	0	0	0	14
North Barriere-ES	1966	0	0	0	0	14
North Barriere-ES	1967	7731	0.89	916	0	14
North Barriere-ES	1968	2701	0.74	954	0	14
North Barriere-ES	1969	203	0.8	52	0	14
North Barriere-ES	1970	36	0.8	9	0	14
North Barriere-ES	1971	13908	0.91	1293	0	14
North Barriere-ES	1972	12915	0.87	1931	0	14
North Barriere-ES	1973	853	0.81	205	0	14
North Barriere-ES	1974	600	0.81	140	0	14
North Barriere-ES	1975	11402	0.74	4005	0	14
North Barriere-ES	1976	25100	0.86	4090	0	14
North Barriere-ES	1977	1393	0.79	371	0	14
North Barriere-ES	1978	429	0.8	107	0	14
North Barriere-ES	1979	42318	0.72	16574	0	14
