Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
1950,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1951,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1945,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1946,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1991,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,16151,8063,3087,5001,82.1,4106,895,1,
1991,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,1518,566,426,526,97.37,512,14,1,
1992,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,43598,4625,16253,22720,37.38,8492,14228,1,
1992,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,3051,277,1303,1471,49.74,732,739,1,
1993,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,17408,644,5719,11045,77.1,8207,2838,1,
1993,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,1220,32,506,682,84.01,573,109,1,
1994,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,4358,947,1215,2196,77.66,1706,490,1,
1994,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,0,0,0,0,0,0,0,1,
1995,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,17798,10617,2570,4611,98.3,4533,78,1,
1997,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,6060,339,2839,2882,62.75,1809,1073,1,
1997,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,807,30,475,302,22.54,68,234,1,
1998,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,7628,1316,2573,3739,61.81,2311,1428,1,
1998,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,1097,161,694,242,54.17,131,111,1,
