Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
1953,Early South Thompson,Salmon River,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2014,Early South Thompson,Adams Channel,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2014,Early South Thompson,Adams River,,,,,,,,,,,
2014,Early South Thompson,Adams River,,,,,,,,,,,
2014,Early South Thompson,Anstey River,T2,Shuswap - Early Summer,8420,0,3831,4589,92.67,4253,336,19,
2014,Early South Thompson,Blueberry Creek,T2,Shuswap - Early Summer,2,0,1,1,92.67,1,0,19,
2014,Early South Thompson,Burton Creek,T2,Shuswap - Early Summer,185,0,83,102,87.79,90,12,19,
2014,Early South Thompson,Cayenne Creek,T2,Shuswap - Early Summer,304,0,137,167,87.79,147,20,19,
2014,Early South Thompson,Celista Creek,T2,Shuswap - Early Summer,1928,0,780,1148,92.13,1058,90,19,
2014,Early South Thompson,Craigellachie Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2014,Early South Thompson,Crazy Creek,T2,Shuswap - Early Summer,1463,0,734,729,97.72,712,17,19,
2014,Early South Thompson,Eagle River,T2,Shuswap - Early Summer,210956,59,105778,105119,92.87,97620,7499,19,
2014,Early South Thompson,Four Mile Creek,T2,Shuswap - Early Summer,110,0,50,60,92.67,56,4,19,
2014,Early South Thompson,Hiuihill Creek,T2,Shuswap - Early Summer,3796,3,1821,1972,86.62,1708,264,19,
2014,Early South Thompson,Hunakwa Creek,T2,Shuswap - Early Summer,374,0,170,204,92.67,189,15,19,
2014,Early South Thompson,Loftus Creek,T2,Shuswap - Early Summer,1372,0,597,775,92.2,715,60,19,
2014,Early South Thompson,McNomee Creek,T2,Shuswap - Early Summer,18857,0,8740,10117,93.34,9443,674,19,
2014,Early South Thompson,Momich River,,,,,,,,,,,
2014,Early South Thompson,Nikwikwaia Creek,T2,Shuswap - Early Summer,3233,0,1578,1655,94.04,1556,99,19,
2014,Early South Thompson,Onyx Creek,T2,Shuswap - Early Summer,20,0,9,11,92.67,10,1,19,
2014,Early South Thompson,Perry River,T2,Shuswap - Early Summer,2745,0,1377,1368,92.87,1270,98,19,
2014,Early South Thompson,Ross Creek,T2,Shuswap - Early Summer,16,0,7,9,92.67,8,1,19,
2014,Early South Thompson,Scotch Creek,T2,Shuswap - Early Summer,135134,34,61470,73630,93.39,68761,4869,19,
2014,Early South Thompson,Seymour River,T2,Shuswap - Early Summer,95156,11,43291,51854,92.51,47971,3883,19,
2014,Early South Thompson,Sinmax Creek,T2,Shuswap - Early Summer,365,0,164,201,87.79,176,25,19,
2014,Early South Thompson,Yard Creek,T2,Shuswap - Early Summer,8609,3,4215,4391,94.76,4161,230,19,
2014,Early South Thompson,Momich River,,,,,,,,,,,
2007,Early South Thompson,Momich River,,,,,,,,,,,
2008,Early South Thompson,Adams River,,,,,,,,,,,
2008,Early South Thompson,Adams Channel,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Anstey River,T2,Shuswap - Early Summer,119,0,57,62,44.54,28,34,19,
2008,Early South Thompson,Burton Creek,T2,Shuswap - Early Summer,135,0,54,81,30.56,25,56,19,
2008,Early South Thompson,Cayenne Creek,T2,Shuswap - Early Summer,313,0,149,164,36.36,60,104,19,
2008,Early South Thompson,Celista Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Crazy Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Eagle River,T2,Shuswap - Early Summer,1345,0,649,696,44.54,310,386,19,
2008,Early South Thompson,Craigellachie Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Hiuihill Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Hunakwa Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Loftus Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,McNomee Creek,T2,Shuswap - Early Summer,113,0,54,59,44.54,26,33,19,
2008,Early South Thompson,Nikwikwaia Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Momich River,,,,,,,,,,,
2008,Early South Thompson,Perry River,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2008,Early South Thompson,Scotch Creek,T2,Shuswap - Early Summer,654,0,343,311,44.54,139,172,19,
2008,Early South Thompson,Seymour River,T2,Shuswap - Early Summer,1237,0,597,640,44.54,285,355,19,
2008,Early South Thompson,Adams River,,,,,,,,,,,
2008,Early South Thompson,Momich River,,,,,,,,,,,
2008,Early South Thompson,Yard Creek,T2,Shuswap - Early Summer,128,0,61,67,44.54,30,37,19,
2015,Early South Thompson,Salmon River,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2015,Early South Thompson,Four Mile Creek,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
2015,Early South Thompson,Four Mile Creek - Shore,T2,Shuswap - Early Summer,0,0,0,0,0,0,0,19,
1990,Late South Thompson,Adams Channel,T4,Shuswap Complex - Late,6840,16,3429,3395,98.4,3341,54,18,
1978,Late South Thompson,Adams Lake,T4,Shuswap Complex - Late,749,0,342,407,99.23,404,3,18,
1982,Late South Thompson,Adams Lake,T4,Shuswap Complex - Late,1840,1,877,962,100,962,0,18,
1986,Late South Thompson,Adams Lake,T4,Shuswap Complex - Late,2965,20,1549,1396,98.46,1375,21,18,
1987,Late South Thompson,Adams Lake,T4,Shuswap Complex - Late,47,0,22,25,98.46,25,0,18,
1990,Late South Thompson,Adams Lake,T4,Shuswap Complex - Late,6532,15,3275,3242,98.4,3190,52,18,
1990,Late South Thompson,Adams River,,,,,,,,,,,
1942,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,247,0,123,124,91.18,113,11,18,
1946,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,193,0,96,97,94.44,92,5,18,
1950,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,50,0,25,25,100,25,0,18,
1954,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,214,0,95,119,89.44,106,13,18,
1958,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,967,2,520,445,97.73,434,11,18,
1962,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,992,6,414,572,100,572,0,18,
1965,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,41,41,0,0,0,0,0,18,
1966,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,1352,40,594,718,93.1,668,50,18,
1967,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,164,0,75,89,87.35,78,11,18,
1970,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,387,7,167,213,91.7,195,18,18,
1974,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,1152,6,583,563,94.46,532,31,18,
1978,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,441,0,201,240,100,240,0,18,
1979,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,18,0,8,10,100,10,0,18,
1982,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,981,0,468,513,100,513,0,18,
1986,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,3168,0,1522,1646,100,1646,0,18,
1987,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,436,0,207,229,100,229,0,18,
1990,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,5099,39,2701,2359,98.03,2312,47,18,
1990,Late South Thompson,Hiuihill Creek,T4,Shuswap Complex - Late,2925,7,1467,1451,99.67,1446,5,18,
1986,Late South Thompson,Bush Creek,T4,Shuswap Complex - Late,104,1,54,49,98.46,48,1,18,
1990,Late South Thompson,Bush Creek,T4,Shuswap Complex - Late,76,0,38,38,100,38,0,18,
1982,Late South Thompson,Canoe Creek,T4,Shuswap Complex - Late,83,0,37,46,100,46,0,18,
1986,Late South Thompson,Canoe Creek,T4,Shuswap Complex - Late,41,0,21,20,100,20,0,18,
1990,Late South Thompson,Canoe Creek,T4,Shuswap Complex - Late,128,0,64,64,100,64,0,18,
1942,Late South Thompson,Celista Creek,T4,Shuswap Complex - Late,841,0,420,421,91.18,384,37,18,
1946,Late South Thompson,Celista Creek,T4,Shuswap Complex - Late,27,0,7,20,100,20,0,18,
1990,Late South Thompson,Celista Creek,T4,Shuswap Complex - Late,42,0,21,21,100,21,0,18,
1990,Late South Thompson,Deadman River,T4,Shuswap Complex - Late,2411,0,1241,1170,99.85,1143,27,18,
1942,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,54,0,27,27,91.18,25,2,18,
1946,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,409,0,227,182,100,182,0,18,
1950,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,500,12,254,234,94.6,222,12,18,
1957,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,490,490,0,0,0,0,0,18,
1958,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,1049,2,564,483,97.73,472,11,18,
1961,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,7,7,0,0,0,0,0,18,
1962,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,9194,52,3840,5302,100,5302,0,18,
1965,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,398,398,0,0,0,0,0,18,
1966,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,9810,294,4307,5209,93.1,4850,359,18,
1967,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,61,0,30,31,87.35,27,4,18,
1969,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,128,117,5,6,100,6,0,18,
1970,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,9614,0,4732,4882,91.7,4477,405,18,
1971,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,320,0,160,160,100,160,0,18,
1972,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,2,2,0,0,0,0,0,18,
1974,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,4507,23,2280,2204,94.46,2082,122,18,
1975,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,455,1,217,237,100,237,0,18,
1978,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,8025,8,3662,4355,100,4355,0,18,
1979,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,238,0,105,133,100,133,0,18,
1980,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,2,0,1,1,100,1,0,18,
1982,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,32350,0,14448,17902,100,17902,0,18,
1983,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,508,0,282,226,100,226,0,18,
1984,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,17,0,8,9,100,9,0,18,
1985,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,210,183,14,13,100,13,0,18,
1986,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,25719,22,13527,12170,100,12170,0,18,
1987,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,1532,0,768,764,100,764,0,18,
1988,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,6,0,4,2,100,2,0,18,
1989,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,621,621,0,0,0,0,0,18,
1990,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,56200,0,30286,25914,99.88,25883,31,18,
1962,Late South Thompson,5 Mile Creek,T4,Shuswap Complex - Late,86,1,36,49,100,49,0,18,
1986,Late South Thompson,Nikwikwaia Creek,T4,Shuswap Complex - Late,83,1,43,39,98.46,38,1,18,
1990,Late South Thompson,Nikwikwaia Creek,T4,Shuswap Complex - Late,2365,5,1186,1174,100,1174,0,18,
1969,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,22,22,0,0,0,0,0,18,
1970,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,625,12,270,343,91.7,315,28,18,
1974,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,382,2,193,187,94.46,177,10,18,
1978,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,935,0,427,508,100,508,0,18,
1979,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,41,0,18,23,100,23,0,18,
1982,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,2342,1,1116,1225,100,1225,0,18,
1986,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,299,0,147,152,100,152,0,18,
1938,Late South Thompson,Little River,T4,Shuswap Complex - Late,175000,494,96592,77914,76.18,59355,18559,18,
1939,Late South Thompson,Little River,T4,Shuswap Complex - Late,15687,146,6984,8557,95,8129,428,18,
1940,Late South Thompson,Little River,T4,Shuswap Complex - Late,2430,1905,262,263,99,260,3,18,
1942,Late South Thompson,Little River,T4,Shuswap Complex - Late,400000,0,191245,208755,91.18,190343,18412,18,
1944,Late South Thompson,Little River,T4,Shuswap Complex - Late,200,2,51,147,96.72,142,5,18,
1945,Late South Thompson,Little River,T4,Shuswap Complex - Late,6000,6000,0,0,0,0,0,18,
1946,Late South Thompson,Little River,T4,Shuswap Complex - Late,419000,5866,187293,225841,96.2,217259,8582,18,
1947,Late South Thompson,Little River,T4,Shuswap Complex - Late,16251,195,5753,10303,100,10303,0,18,
1948,Late South Thompson,Little River,T4,Shuswap Complex - Late,1313,1254,16,43,100,43,0,18,
1949,Late South Thompson,Little River,T4,Shuswap Complex - Late,9571,7959,700,912,87.96,803,109,18,
1950,Late South Thompson,Little River,T4,Shuswap Complex - Late,137939,5793,66804,65342,94.6,61814,3528,18,
1951,Late South Thompson,Little River,T4,Shuswap Complex - Late,9690,523,4497,4670,94,4390,280,18,
1952,Late South Thompson,Little River,T4,Shuswap Complex - Late,1861,818,540,503,91.67,461,42,18,
1953,Late South Thompson,Little River,T4,Shuswap Complex - Late,37659,37102,259,298,94.24,281,17,18,
1954,Late South Thompson,Little River,T4,Shuswap Complex - Late,199004,1212,66484,131308,89.44,117442,13866,18,
1955,Late South Thompson,Little River,T4,Shuswap Complex - Late,4328,211,1412,2705,100,2705,0,18,
1956,Late South Thompson,Little River,T4,Shuswap Complex - Late,1255,329,312,614,95.55,587,27,18,
1957,Late South Thompson,Little River,T4,Shuswap Complex - Late,34964,34580,174,210,87.21,183,27,18,
1958,Late South Thompson,Little River,T4,Shuswap Complex - Late,409480,1515,142376,265589,96.78,257047,8542,18,
1959,Late South Thompson,Little River,T4,Shuswap Complex - Late,21080,36,7155,13889,99.77,13857,32,18,
1960,Late South Thompson,Little River,T4,Shuswap Complex - Late,66,0,22,44,97,43,1,18,
1961,Late South Thompson,Little River,T4,Shuswap Complex - Late,8253,8070,104,79,95.1,75,4,18,
1962,Late South Thompson,Little River,T4,Shuswap Complex - Late,67398,662,35645,31091,97.87,30429,662,18,
1963,Late South Thompson,Little River,T4,Shuswap Complex - Late,2436,33,997,1406,97.7,1374,32,18,
1965,Late South Thompson,Little River,T4,Shuswap Complex - Late,3274,3126,50,98,100,98,0,18,
1966,Late South Thompson,Little River,T4,Shuswap Complex - Late,55952,1692,25581,28679,96,27532,1147,18,
1967,Late South Thompson,Little River,T4,Shuswap Complex - Late,74490,89,35188,39213,85.71,33609,5604,18,
1969,Late South Thompson,Little River,T4,Shuswap Complex - Late,6842,6261,125,456,94.34,430,26,18,
1970,Late South Thompson,Little River,T4,Shuswap Complex - Late,168881,679,58620,109582,91.9,100706,8876,18,
1971,Late South Thompson,Little River,T4,Shuswap Complex - Late,2821,0,1264,1557,93.6,1457,100,18,
1972,Late South Thompson,Little River,T4,Shuswap Complex - Late,81,6,36,39,99.8,39,0,18,
1973,Late South Thompson,Little River,T4,Shuswap Complex - Late,6689,6499,132,58,99.63,58,0,18,
1974,Late South Thompson,Little River,T4,Shuswap Complex - Late,122112,571,36944,84597,91.67,77550,7047,18,
1975,Late South Thompson,Little River,T4,Shuswap Complex - Late,7268,31,3424,3813,98.33,3749,64,18,
1976,Late South Thompson,Little River,T4,Shuswap Complex - Late,175,15,57,103,100,103,0,18,
1977,Late South Thompson,Little River,T4,Shuswap Complex - Late,8684,7742,714,228,96.97,221,7,18,
1978,Late South Thompson,Little River,T4,Shuswap Complex - Late,81055,632,30406,50017,99.35,49692,325,18,
1979,Late South Thompson,Little River,T4,Shuswap Complex - Late,10443,33,6111,4299,98.16,4220,79,18,
1980,Late South Thompson,Little River,T4,Shuswap Complex - Late,32,16,8,8,100,8,0,18,
1981,Late South Thompson,Little River,T4,Shuswap Complex - Late,8169,7231,478,460,100,460,0,18,
1982,Late South Thompson,Little River,T4,Shuswap Complex - Late,239278,99,117915,121264,98.32,119227,2037,18,
1984,Late South Thompson,Little River,T4,Shuswap Complex - Late,49,0,22,27,100,27,0,18,
1985,Late South Thompson,Little River,T4,Shuswap Complex - Late,972,934,19,19,100,19,0,18,
1986,Late South Thompson,Little River,T4,Shuswap Complex - Late,227919,1141,118142,108636,98.46,106963,1673,18,
1987,Late South Thompson,Little River,T4,Shuswap Complex - Late,18000,2,8569,9429,98.46,9346,83,18,
1988,Late South Thompson,Little River,T4,Shuswap Complex - Late,225,0,75,150,100,150,0,18,
1989,Late South Thompson,Little River,T4,Shuswap Complex - Late,167,165,1,1,100,1,0,18,
1990,Late South Thompson,Little River,T4,Shuswap Complex - Late,360000,828,180504,178668,98.4,175804,2864,18,
1938,Late South Thompson,Adams River,,,,,,,,,,,
1939,Late South Thompson,Adams River,,,,,,,,,,,
1940,Late South Thompson,Adams River,,,,,,,,,,,
1941,Late South Thompson,Adams River,,,,,,,,,,,
1942,Late South Thompson,Adams River,,,,,,,,,,,
1943,Late South Thompson,Adams River,,,,,,,,,,,
1944,Late South Thompson,Adams River,,,,,,,,,,,
1945,Late South Thompson,Adams River,,,,,,,,,,,
1946,Late South Thompson,Adams River,,,,,,,,,,,
1947,Late South Thompson,Adams River,,,,,,,,,,,
1948,Late South Thompson,Adams River,,,,,,,,,,,
1949,Late South Thompson,Adams River,,,,,,,,,,,
1950,Late South Thompson,Adams River,,,,,,,,,,,
1951,Late South Thompson,Adams River,,,,,,,,,,,
1952,Late South Thompson,Adams River,,,,,,,,,,,
1953,Late South Thompson,Adams River,,,,,,,,,,,
1954,Late South Thompson,Adams River,,,,,,,,,,,
1955,Late South Thompson,Adams River,,,,,,,,,,,
1956,Late South Thompson,Adams River,,,,,,,,,,,
1957,Late South Thompson,Adams River,,,,,,,,,,,
1958,Late South Thompson,Adams River,,,,,,,,,,,
1959,Late South Thompson,Adams River,,,,,,,,,,,
1960,Late South Thompson,Adams River,,,,,,,,,,,
1961,Late South Thompson,Adams River,,,,,,,,,,,
1962,Late South Thompson,Adams River,,,,,,,,,,,
1963,Late South Thompson,Adams River,,,,,,,,,,,
1964,Late South Thompson,Adams River,,,,,,,,,,,
1965,Late South Thompson,Adams River,,,,,,,,,,,
1966,Late South Thompson,Adams River,,,,,,,,,,,
1967,Late South Thompson,Adams River,,,,,,,,,,,
1968,Late South Thompson,Adams River,,,,,,,,,,,
1969,Late South Thompson,Adams River,,,,,,,,,,,
1970,Late South Thompson,Adams River,,,,,,,,,,,
1971,Late South Thompson,Adams River,,,,,,,,,,,
1972,Late South Thompson,Adams River,,,,,,,,,,,
1973,Late South Thompson,Adams River,,,,,,,,,,,
1974,Late South Thompson,Adams River,,,,,,,,,,,
1975,Late South Thompson,Adams River,,,,,,,,,,,
1976,Late South Thompson,Adams River,,,,,,,,,,,
1977,Late South Thompson,Adams River,,,,,,,,,,,
1978,Late South Thompson,Adams River,,,,,,,,,,,
1979,Late South Thompson,Adams River,,,,,,,,,,,
1980,Late South Thompson,Adams River,,,,,,,,,,,
1981,Late South Thompson,Adams River,,,,,,,,,,,
1982,Late South Thompson,Adams River,,,,,,,,,,,
1983,Late South Thompson,Adams River,,,,,,,,,,,
1984,Late South Thompson,Adams River,,,,,,,,,,,
1985,Late South Thompson,Adams River,,,,,,,,,,,
1986,Late South Thompson,Adams River,,,,,,,,,,,
1987,Late South Thompson,Adams River,,,,,,,,,,,
1988,Late South Thompson,Adams River,,,,,,,,,,,
1989,Late South Thompson,Adams River,,,,,,,,,,,
1942,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,2000,0,956,1044,91.18,952,92,18,
1946,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,1237,0,618,619,100,619,0,18,
1949,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,13,0,6,7,100,7,0,18,
1950,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,12000,0,4176,7824,99.1,7754,70,18,
1954,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,17462,0,6290,11172,98,10948,224,18,
1955,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,23,0,11,12,100,12,0,18,
1956,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,5,5,0,0,0,0,0,18,
1957,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,490,488,1,1,100,1,0,18,
1958,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,9387,20,3853,5514,97.73,5389,125,18,
1959,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,281,0,94,187,99.77,187,0,18,
1961,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,342,310,16,16,95.1,15,1,18,
1962,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,31205,178,13031,17996,98.67,17757,239,18,
1963,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,2014,0,988,1026,99.2,1018,8,18,
1965,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,583,291,117,175,98.5,172,3,18,
1966,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,24629,214,10987,13428,100,13428,0,18,
1967,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,5951,0,2975,2976,98.7,2919,57,18,
1969,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,1703,704,444,555,93.33,518,37,18,
1970,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,29074,275,14175,14624,99.79,14593,31,18,
1971,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,6117,0,2416,3701,100,3701,0,18,
1972,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,290,251,19,20,100,20,0,18,
1973,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,7452,4658,812,1982,99.19,1966,16,18,
1974,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,86396,446,36305,49645,99.7,49496,149,18,
1975,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,11652,30,5528,6094,98.55,6006,88,18,
1976,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,400,370,11,19,100,19,0,18,
1977,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,14695,8336,2738,3621,98.18,3555,66,18,
1978,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,187167,33,96346,90788,99.02,89898,890,18,
1979,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,10092,44,4598,5450,97.63,5321,129,18,
1980,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,81,63,13,5,100,5,0,18,
1981,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,7358,3283,2275,1800,99.37,1789,11,18,
1982,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,513925,28,250256,263641,99.62,262578,1063,18,
1983,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,7308,0,3009,4299,100,4299,0,18,
1984,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,79,4,33,42,100,42,0,18,
1985,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,3123,2306,350,467,100,467,0,18,
1986,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,600495,125,338023,262347,99.74,261606,741,18,
1987,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,10343,0,5650,4693,100,4693,0,18,
1988,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,194,0,97,97,100,97,0,18,
1989,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,3017,2529,163,325,100,325,0,18,
1990,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,983554,73,578770,404711,99.88,404156,555,18,
1990,Late South Thompson,McNomee Creek,T4,Shuswap Complex - Late,12,0,6,6,100,6,0,18,
1950,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,50,0,25,25,99.1,25,0,18,
1954,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,61,0,22,39,98,38,1,18,
1958,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,499,1,205,293,97.73,286,7,18,
1962,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,457,3,191,263,100,263,0,18,
1966,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,1872,0,936,936,100,936,0,18,
1967,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,58,0,29,29,98.7,29,0,18,
1970,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,4559,0,2244,2315,99.79,2310,5,18,
1971,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,284,0,142,142,100,142,0,18,
1974,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,3064,16,1287,1761,99.7,1756,5,18,
1975,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,227,1,108,118,100,118,0,18,
1978,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,10890,0,4969,5921,100,5921,0,18,
1979,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,578,0,255,323,97.63,315,8,18,
1982,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,40302,2,19625,20675,99.1,20489,186,18,
1983,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,27,0,11,16,100,16,0,18,
1985,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,180,0,77,103,100,103,0,18,
1986,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,80529,0,51415,29114,99,28822,292,18,
1987,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,787,0,430,357,100,357,0,18,
1990,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,96451,10,44821,51620,99.91,51574,46,18,
1942,Late South Thompson,Momich River,T4,Shuswap Complex - Late,158,0,79,79,91.18,72,7,18,
1945,Late South Thompson,Momich River,T4,Shuswap Complex - Late,1500,1500,0,0,0,0,0,18,
1946,Late South Thompson,Momich River,T4,Shuswap Complex - Late,58,0,29,29,100,29,0,18,
1950,Late South Thompson,Momich River,T4,Shuswap Complex - Late,150,3,76,71,94.6,67,4,18,
1953,Late South Thompson,Momich River,T4,Shuswap Complex - Late,45,45,0,0,0,0,0,18,
1954,Late South Thompson,Momich River,T4,Shuswap Complex - Late,785,1,323,461,89.44,412,49,18,
1958,Late South Thompson,Momich River,T4,Shuswap Complex - Late,369,1,198,170,97.73,166,4,18,
1962,Late South Thompson,Momich River,T4,Shuswap Complex - Late,218,1,92,125,100,125,0,18,
1970,Late South Thompson,Momich River,T4,Shuswap Complex - Late,360,0,152,208,91.7,191,17,18,
1978,Late South Thompson,Momich River,T4,Shuswap Complex - Late,65,0,30,35,100,35,0,18,
1982,Late South Thompson,Momich River,T4,Shuswap Complex - Late,112,0,53,59,100,59,0,18,
1986,Late South Thompson,Momich River,T4,Shuswap Complex - Late,315,2,165,148,98.46,146,2,18,
