Proposed DU Name,DUID,Year,EFS
Francois-Fraser-S,7,1952,19920
Francois-Fraser-S,7,1953,20388
Francois-Fraser-S,7,1954,72273
Francois-Fraser-S,7,1955,29937
Francois-Fraser-S,7,1956,21686
Francois-Fraser-S,7,1957,18044
Francois-Fraser-S,7,1958,61581
Francois-Fraser-S,7,1959,41872
Francois-Fraser-S,7,1960,22718
Francois-Fraser-S,7,1961,18136
Francois-Fraser-S,7,1962,44532
Francois-Fraser-S,7,1963,41535
Francois-Fraser-S,7,1964,16161
Francois-Fraser-S,7,1965,20479
Francois-Fraser-S,7,1966,51509
Francois-Fraser-S,7,1967,32467
Francois-Fraser-S,7,1968,13680
Francois-Fraser-S,7,1969,25629
Francois-Fraser-S,7,1970,26727
Francois-Fraser-S,7,1971,20147
Francois-Fraser-S,7,1972,19938
Francois-Fraser-S,7,1973,15424
Francois-Fraser-S,7,1974,23718
Francois-Fraser-S,7,1975,68451
Francois-Fraser-S,7,1976,63865
Francois-Fraser-S,7,1977,10894
Francois-Fraser-S,7,1978,32528
Francois-Fraser-S,7,1979,152583
Francois-Fraser-S,7,1980,28477
Francois-Fraser-S,7,1981,12030
Francois-Fraser-S,7,1982,34888
Francois-Fraser-S,7,1983,61357
Francois-Fraser-S,7,1984,32672
Francois-Fraser-S,7,1985,21969
Francois-Fraser-S,7,1986,44564
Francois-Fraser-S,7,1987,98179
Francois-Fraser-S,7,1988,200537
Francois-Fraser-S,7,1989,15903
Francois-Fraser-S,7,1990,56537
Francois-Fraser-S,7,1991,54349
Francois-Fraser-S,7,1992,55138
Francois-Fraser-S,7,1993,42861
Francois-Fraser-S,7,1994,63584
Francois-Fraser-S,7,1995,41135
Francois-Fraser-S,7,1996,167624
Francois-Fraser-S,7,1997,23241
Francois-Fraser-S,7,1998,96961
Francois-Fraser-S,7,1999,66080
Francois-Fraser-S,7,2000,195386
Francois-Fraser-S,7,2001,61590
Francois-Fraser-S,7,2002,177618
Francois-Fraser-S,7,2003,43829
Francois-Fraser-S,7,2004,53755
Francois-Fraser-S,7,2005,102247
Francois-Fraser-S,7,2006,79834
Francois-Fraser-S,7,2007,19626
Francois-Fraser-S,7,2008,73798
Francois-Fraser-S,7,2009,15770
Francois-Fraser-S,7,2010,109383
Francois-Fraser-S,7,2011,25856
Francois-Fraser-S,7,2012,50572
Francois-Fraser-S,7,2013,54130
Francois-Fraser-S,7,2014,240406
Francois-Fraser-S,7,2015,47613
Harrison (D/S)-L,9,1950,11
Harrison (D/S)-L,9,1951,73
Harrison (D/S)-L,9,1952,2667
Harrison (D/S)-L,9,1953,65
Harrison (D/S)-L,9,1954,123
Harrison (D/S)-L,9,1955,84
Harrison (D/S)-L,9,1956,2816
Harrison (D/S)-L,9,1957,171
Harrison (D/S)-L,9,1958,1
Harrison (D/S)-L,9,1959,22
Harrison (D/S)-L,9,1960,2331
Harrison (D/S)-L,9,1961,175
Harrison (D/S)-L,9,1962,119
Harrison (D/S)-L,9,1963,33
Harrison (D/S)-L,9,1964,2208
Harrison (D/S)-L,9,1965,315
Harrison (D/S)-L,9,1966,145
Harrison (D/S)-L,9,1967,1
Harrison (D/S)-L,9,1968,479
Harrison (D/S)-L,9,1969,38
Harrison (D/S)-L,9,1970,106
Harrison (D/S)-L,9,1971,1
Harrison (D/S)-L,9,1972,921
Harrison (D/S)-L,9,1973,128
Harrison (D/S)-L,9,1974,435
Harrison (D/S)-L,9,1975,16
Harrison (D/S)-L,9,1976,633
Harrison (D/S)-L,9,1977,104
Harrison (D/S)-L,9,1978,694
Harrison (D/S)-L,9,1979,54
Harrison (D/S)-L,9,1980,171
Harrison (D/S)-L,9,1981,67
Harrison (D/S)-L,9,1982,894
Harrison (D/S)-L,9,1983,59
Harrison (D/S)-L,9,1984,56
Harrison (D/S)-L,9,1985,40
Harrison (D/S)-L,9,1986,1785
Harrison (D/S)-L,9,1987,280
Harrison (D/S)-L,9,1988,166
Harrison (D/S)-L,9,1989,33
Harrison (D/S)-L,9,1990,864
Harrison (D/S)-L,9,1991,1177
Harrison (D/S)-L,9,1992,1614
Harrison (D/S)-L,9,1993,745
Harrison (D/S)-L,9,1994,316
Harrison (D/S)-L,9,1995,646
Harrison (D/S)-L,9,1996,1561
Harrison (D/S)-L,9,1997,935
Harrison (D/S)-L,9,1998,2966
Harrison (D/S)-L,9,1999,499
Harrison (D/S)-L,9,2000,3595
Harrison (D/S)-L,9,2001,5790
Harrison (D/S)-L,9,2002,14406
Harrison (D/S)-L,9,2003,5805
Harrison (D/S)-L,9,2004,9617
Harrison (D/S)-L,9,2005,2837
Harrison (D/S)-L,9,2006,10433
Harrison (D/S)-L,9,2007,2461
Harrison (D/S)-L,9,2008,831
Harrison (D/S)-L,9,2009,3377
Harrison (D/S)-L,9,2010,5626
Harrison (D/S)-L,9,2011,2748
Harrison (D/S)-L,9,2012,948
Harrison (D/S)-L,9,2013,3724
Harrison (D/S)-L,9,2014,2969
Harrison (D/S)-L,9,2015,3933
Harrison (U/S)-L,10,1950,15680
Harrison (U/S)-L,10,1951,7702
Harrison (U/S)-L,10,1952,13175
Harrison (U/S)-L,10,1953,5142
Harrison (U/S)-L,10,1954,13754
Harrison (U/S)-L,10,1955,13037
Harrison (U/S)-L,10,1956,5893
Harrison (U/S)-L,10,1957,11111
Harrison (U/S)-L,10,1958,21770
Harrison (U/S)-L,10,1959,5023
Harrison (U/S)-L,10,1960,4059
Harrison (U/S)-L,10,1961,2336
Harrison (U/S)-L,10,1962,9403
Harrison (U/S)-L,10,1963,8848
Harrison (U/S)-L,10,1964,663
Harrison (U/S)-L,10,1965,7326
Harrison (U/S)-L,10,1966,9860
Harrison (U/S)-L,10,1967,10618
Harrison (U/S)-L,10,1968,2202
Harrison (U/S)-L,10,1969,30604
Harrison (U/S)-L,10,1970,5003
Harrison (U/S)-L,10,1971,2656
Harrison (U/S)-L,10,1972,15026
Harrison (U/S)-L,10,1973,24885
Harrison (U/S)-L,10,1974,28099
Harrison (U/S)-L,10,1975,16033
Harrison (U/S)-L,10,1976,28243
Harrison (U/S)-L,10,1977,28510
Harrison (U/S)-L,10,1978,42315
Harrison (U/S)-L,10,1979,25702
Harrison (U/S)-L,10,1980,43286
Harrison (U/S)-L,10,1981,22627
Harrison (U/S)-L,10,1982,115030
Harrison (U/S)-L,10,1983,27380
Harrison (U/S)-L,10,1984,30434
Harrison (U/S)-L,10,1985,22773
Harrison (U/S)-L,10,1986,41837
Harrison (U/S)-L,10,1987,30105
Harrison (U/S)-L,10,1988,27428
Harrison (U/S)-L,10,1989,10365
Harrison (U/S)-L,10,1990,8525
Harrison (U/S)-L,10,1991,18487
Harrison (U/S)-L,10,1992,28480
Harrison (U/S)-L,10,1993,34018
Harrison (U/S)-L,10,1994,30208
Harrison (U/S)-L,10,1995,10904
Harrison (U/S)-L,10,1996,26848
Harrison (U/S)-L,10,1997,10724
Harrison (U/S)-L,10,1998,29811
Harrison (U/S)-L,10,1999,13106
Harrison (U/S)-L,10,2000,2732
Harrison (U/S)-L,10,2001,8035
Harrison (U/S)-L,10,2002,36269
Harrison (U/S)-L,10,2003,24683
Harrison (U/S)-L,10,2004,13968
Harrison (U/S)-L,10,2005,23597
Harrison (U/S)-L,10,2006,13618
Harrison (U/S)-L,10,2007,15825
Harrison (U/S)-L,10,2008,617
Harrison (U/S)-L,10,2009,12871
Harrison (U/S)-L,10,2010,25328
Harrison (U/S)-L,10,2011,24535
Harrison (U/S)-L,10,2012,397
Harrison (U/S)-L,10,2013,15535
Harrison (U/S)-L,10,2014,10446
Harrison (U/S)-L,10,2015,1133
Harrison River (River-Type),23,1950,18216
Harrison River (River-Type),23,1951,13181
Harrison River (River-Type),23,1952,17215
Harrison River (River-Type),23,1953,7641
Harrison River (River-Type),23,1954,16869
Harrison River (River-Type),23,1955,3405
